Model,href,Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,Accidents or damage,1-owner vehicle,Personal use only,Price
2022 Hyundai Santa Fe Calligraphy,/vehicledetail/41ecf9e2-84c9-48c6-aa5f-36dadd214da3/?attribution_type=isa,Calypso Red,Black,Front-wheel Drive,"22–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic with Auto-Shift,2.5L I4 16V PDI DOHC Turbo,5NMS54AL1NH472287,NH472287C,"13,256 mi.",At least 1 accident or damage reported,Yes,Yes,"$38,988"
2016 Lexus IS 300 Base,/vehicledetail/7792ae2c-d42d-439f-8bbd-6d3265e3f70f/,Obsidian Black,Black,All-wheel Drive,"19–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC,JTHCM1D20G5012454,RC7373,"100,067 mi.",At least 1 accident or damage reported,No,Yes,"$19,747"
2017 Chevrolet Volt Premier,/vehicledetail/01fe00b8-0863-4f59-a8a8-4dd95daeb368/,White,Jet Black,Front-wheel Drive,–,Hybrid,1-Speed Automatic,1.5L I4 16V GDI DOHC Hybrid,1G1RD6S50HU192847,H17085A,"39,032 mi.",At least 1 accident or damage reported,Yes,No,"$25,999"
2010 Acura RDX Base,/vehicledetail/8cfcbe56-03d7-4c99-bfba-e4b0b3f17e1d/,Polished Metal Metallic,Ebony,All-wheel Drive,"17–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,"2.3L I-4 DOHC, i-VTEC variable valve control, intercooled turbo,",5J8TB1H58AA003867,Y3306,"123,350 mi.",None reported,No,Yes,"$11,000"
2022 Mercedes-Benz S-Class S 500 4MATIC,/vehicledetail/f5df2c67-2037-4200-8ddf-85d935558acc/,White,–,All-wheel Drive,–,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,W1K6G6DB2NA089310,S230029A,"10,901 mi.",None reported,Yes,No,"$96,750"
2020 Land Rover Defender 110 SE,/vehicledetail/b1362350-7fe5-41a1-88f4-88d026e84594/,Tasman Blue,Khaki,Four-wheel Drive,"17–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,SALEP7EU3L2014286,22386A,"24,946 mi.",None reported,Yes,Yes,"$61,530"
2018 Lexus LS 500 500,/vehicledetail/475aef79-73f4-47a2-b61d-33cc94c579d6/,Atomic Silver,Parchment,Rear-wheel Drive,"19–30



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,JTHB51FF3J5003487,L23189A,"33,005 mi.",None reported,No,Yes,"$49,878"
2006 Chevrolet Monte Carlo LS,/vehicledetail/e58b9bbf-1916-466a-b491-0d89c69422ea/,Silverstone Metallic,Gray,Front-wheel Drive,"21–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",E85 Flex Fuel,4-Speed Automatic,3.5L V6 12V MPFI OHV Flexible Fuel,2G1WJ15K669386468,14057,"168,810 mi.",None reported,Yes,No,"$5,909"
2020 INFINITI Q50 3.0t Red Sport 400,/vehicledetail/fb887b72-7d35-417f-a49e-fc3ebda10825/,Majestic White,White,Rear-wheel Drive,"20–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,JN1FV7AP2LM630084,K1303,"34,487 mi.",None reported,Yes,Yes,"$38,594"
2016 Chrysler 300 S,/vehicledetail/e0cf8069-156d-4afb-8c3e-1ca81e5b081b/,Gloss Black,Black,All-wheel Drive,"18–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2C3CCAGG8GH305043,PV3923A,"117,793 mi.",At least 1 accident or damage reported,No,Yes,"$16,900"
